Title,Title_PT,Year,Era,Category,Universe,Main_Theme,Message,Quote,Based_On,IMDb_Rating,IMDb_Votes,Duration_Min,Studio_Type
Barbie in the Nutcracker,Barbie em Quebra-Nozes,2001,Clássica,Princesa/Bailarina,Reino mágico,Coragem,Acreditar em si mesma transforma sua realidade.,"""Discover your own magic.""",Conto clássico (Quebra-Nozes),"6,30",7800,76,Direct-to-Video
Barbie as Rapunzel,Barbie em Rapunzel,2002,Clássica,Princesa,Reino mágico,Determinação,Sua força abre caminhos para sua liberdade.,"""What makes you different makes you special.""",Conto clássico (Rapunzel),"6,40",7643,84,Direct-to-Video
Barbie of Swan Lake,Barbie e o Lago dos Cisnes,2003,Clássica,Princesa/Transformação,Reino mágico,Autoaceitação,Descobrir seu valor traz verdadeira força.,"""You're braver than you think.""",Conto clássico (O Lago dos Cisnes),"6,50",7000,81,Direct-to-Video
Barbie as The Princess and the Pauper,Barbie como A Princesa e a Plebéia,2004,Clássica,Princesa/Musical,Reino real,Amizade verdadeira,Duas pessoas diferentes podem mudar o mundo juntas.,"""Live your dream.""",Inspirado em Mark Twain,"7,10",9800,85,Direct-to-Video
Barbie Fairytopia,Barbie Fairytopia,2005,Clássica,Fada,Reino mágico,Superação,Suas limitações não definem quem você é.,"""The most beautiful wings are the ones you earn yourself.""",Original,"6,00",5800,70,Direct-to-Video
Barbie and the Magic of Pegasus,Barbie e a Magia de Aladus,2005,Clássica,Princesa/Magia,Reino gelado mágico,Perseverança,"Mesmo quando tudo parece perdido, sempre existe esperança.","""Hope is the strongest magic.""",Original,"6,30",5200,85,Direct-to-Video
Barbie Fairytopia: Mermaidia,Barbie Fairytopia: Mermaidia,2006,Clássica,Fada/Sereia,Mundo submarino,Sacrifício,O amor verdadeiro envolve sacrifício.,"""Friendship gives us the courage to fly.""",Original,"6,20",5100,75,Direct-to-Video
The Barbie Diaries,O Diário da Barbie,2006,Transição,Adolescente/Realista,Mundo real (escola),Identidade,Descobrir quem você é exige sinceridade consigo mesma.,"""Be true to yourself.""",Original,"5,60",4900,70,Direct-to-Video
Barbie in the 12 Dancing Princesses,Barbie e as 12 Princesas Bailarinas,2006,Clássica,Princesa/Bailarina,Reino real,União familiar,A força vem de permanecer unida a quem você ama.,"""Family gives us strength.""",Inspirado em conto clássico,"6,70",7200,83,Direct-to-Video
Barbie Fairytopia: Magic of the Rainbow,Barbie Fairytopia: A Magia do Arco-Íris,2007,Clássica,Fada,Reino mágico,Trabalho em equipe,"Juntas, as diferenças criam algo extraordinário.","""Let your light shine.""",Original,"6,10",4500,75,Direct-to-Video
Barbie as the Island Princess,Barbie como A Princesa da Ilha,2007,Clássica,Princesa,Ilha encantada,Identidade,Você pertence ao lugar onde seu coração escolhe ficar.,"""Trust your heart.""",Original,"6,50",6500,86,Direct-to-Video
Barbie: Mariposa,Barbie: Mariposa,2008,Clássica,Fada,Reino das Borboletas,Coragem,A verdadeira beleza está em ser autêntica.,"""Believe in your wings.""",Original,"6,10",4200,75,Direct-to-Video
Barbie and the Diamond Castle,Barbie e o Castelo de Diamante,2008,Clássica,Amizade/Musical,Reino mágico,Amizade eterna,A amizade verdadeira supera qualquer escuridão.,"""Best friends, forever and always.""",Original,"6,50",5600,77,Direct-to-Video
